Table,0
Bottle,1
Man,2
Chair,3
Desk,4
Bicycle,5
Woman,6
Coffee table,7
Guitar,8
Girl,9
Table tennis racket,10
Sofa bed,11
Bench,12
Wine glass,13
Microphone,14
Bed,15
Drum,16
Boy,17
Car,18
Camera,19
Racket,20
Chopsticks,21
Beer,22
Suitcase,23
Violin,24
Football,25
Mobile phone,26
Cat,27
Coffee cup,28
Dog,29
Mug,30
Motorcycle,31
Piano,32
Ski,33
Hat,34
Backpack,35
Fork,36
Spoon,37
Handbag,38
Van,39
Horse,40
Tennis racket,41
Rugby ball,42
Taxi,43
Snowboard,44
Knife,45
Briefcase,46
Flute,47
Surfboard,48
Elephant,49
Tennis ball,50
Dolphin,51
Monkey,52
Microwave oven,53
Oven,54
Pretzel,55
Snake,56
Hamster,57
Tiara,58
Envelope,59
